Sign_Order,Sign_Order_Num,Fortune_Level,Palace,Current_Hexagram,Change_Trigger,Changed_Hexagram,Fortune_Category,Five_Elements,Symbol_1,Symbol_2,Symbol_3,Symbol_4,Symbol_5,Poem_Text,Interpretation
第 1 籤,1,上上籤,乾宮,乾,九五,大有,持持,金,火,水,土,木,金,天門一掛榜，領定奪標人，馬嘶芳草地，秋高聽鹿鳴。,讀了這首詩，也許會令你心花怒放、樂不可支。是的，它的確是大吉大利的。高高的天堂大門上，張掛着中標的榜文、而你的名字，赫然在上，往日的汗水，沒有白流，你終於脫穎而出，名列前茅，出人頭地了，駿馬在芳草如茵的原野上，放開四蹄，自由奔馳，引頸長嘶，聲震長空，好不得意秋高氣爽的季節裏，傳來一陣陣小鹿的鳴叫，宛如陣陣樂曲，歡快而又動聽、似乎在祝賀你的一次大成功。這一切彷彿都是預定好了似的，合乎上天的旨意。這首籤詩預示不論你是求升學、評職稱、謀事、事業等等，都將給你帶來升遷的喜慶機會，當然可以放心了。 這裏有兩處小地方可不能忽視：馬，善於奔跑，在易經八卦裏屬於乾。乾相對應的方位是西北，相應的季節是秋冬之際，五行中屬金。同時，馬在十二生肖中也獨佔一席，壬午、甲午、丙午、戊午、庚午分別代表42、54、66、78、90年。午也決定了馬的月份是農曆六月。你能聯繫自己找到更多答案的。
第 2 籤,2,上上籤,坤宮,坤,六五,比,持持,土,木,金,火,水,土,地有神，甚威靈，興邦輔國，尊主佑民。,八卦中乾代表陽、天、金、坤所代表的是陰、地、土。《煬帝開河記》中記敘了隋代修運河的典故。其中也說：“雎陽地靈，不可干犯。”四大菩薩之一的地藏菩薩，就是主管陰間的幽冥教主。他曾大發誓願：“地獄未空，誓不成佛”，說是直到地獄冤鬼渡盡，再沒有一個“罪鬼”受苦，自己才願成仙。可惜，六道輪迴永無休止，地獄成空也遙遙無期，所以，地藏王也就永難成佛，始終擔任輔助佛的菩薩職務。每逢農曆七月十五和七月三十，是地藏王的生日和成道日，成羣的朝拜者便湧至安徽九華山佛教勝地，頂禮膜拜、許願還願。 這條籤所寓意的是：所求的事物和人，均屬地神所主宰，所支配。坤屬土，土能生金，被木所克。坤所對應的季節是夏秋，方位是西南。時間上所對應的地支是申和未，年代分別是43、44、55、56、67、68、79、80、91、92年，月份是農曆六、七月。時辰是下午2點至4點(夏令時)。
第 3 籤,3,中上籤,坎宮,屯,九五,復,持平,水,土,木,金,火,水,長安花，不可及，春風中，馬蹄疾，急早加鞭，驟然生色。,春天的長安城，鮮花盛開，絢麗多彩，多麼令人神往。可是，這些花可以想可以望而無法攀折在手。你朝着目的地快馬加鞭、日夜兼程往前趕，卻在無意之間有了一個意外的收穫，使你驚喜不已。得到的，不是所追求的，雖然不盡人意，卻可以寬慰你。 古城長安(今西安市)，是我國六大古都之一，籤中所指的長安，不要單純理解成今天的西安或者首都北京，這裏泛指求的人與事之所在地。所追求的是花，而不是果，虛而不實，當然不會有直接的收穫。 你不應在追求的過程中，慢慢吞吞，虛耗了歲月，要以最快的速度去接近目標，或許會有一個意外的收穫。
第 4 籤,4,中上籤,離宮,蒙,九二,剝,持平,火,水,土,木,金,火,春花嬌媚，不禁雨打風飄，秋菊幽芳，反耐霜凌雪傲。,擺在你面前的，有兩個不同類型的追求目標，因此你心上心下，躊躇不決，不知如何是好：春花，還是秋菊？神籤回答你說：“秋菊好。雖然它沒有春花那麼嬌媚，卻凌霜傲雪、挺拔堅強。 春所對應的八封名叫震，方位是東方，屬五行中的木。木能生火卻被火所克。 秋所對應的八卦名稱兌，方位是西方，屬金。金由土生能生水，卻被火所克。 春花也罷秋菊也罷，畢竟都是被動之物，佔據主導地位的是你自己。 陰陽五行是個哲學概念，包含着事物對立統一的兩個方面。 你的命運八字中，木、土、火、金、水，旺盛的是什麼，缺少的是什麼，與春花秋菊，有什麼對應的相生相剋的關係？這是值得查詢一下。然後再作結論的，那時你纔會心服口服，頓悟其中道理。
第 5 籤,5,中下籤,震宮,震,六五,隨,平破,木,火,土,金,水,木,春雷震，夏風巽，臥龍起，猛虎驚，風雲會全，救濟蒼生。,這是一支充滿希望、顯示外來肋力的籤，並預示了你所祈問的事情不同尋常的意義。春雷、夏風分別象徵着八卦中的震卦和巽卦。 震。所對應的方位是東方，季節是春天，五行之中屬木。震也是雷神的象徵。東方的神只是青龍。這條沉睡的龍終於醒來，充滿了活力和生機，使百獸之王的虎，受到晾嚇，只好收起它的虎威。灰溜溜的逃遁。 你所營求的事情中，有一個對頭。處處時時。有意無意。給你製造一個又一個阻力和障礙，但終敵不過風神和雷神的合力挾擊，敗在你的手下。記住，這個人屬虎，生於1938年、50、62、74、86、98年。當然，臉有更大的目標要去追求，加上你的度量，你不會將對方怎麼樣的，完全沒有必要施行更大的報復。 巽，是風神的象徵，在五行當中也屬木，時間正是春夏之交。
第 6 籤,6,中下籤,坎宮,屯,初九,比,平破,水,木,火,土,金,水,非玄非奧，非淺非深，一個妙道，着意搜嫂尋。,“道”是什麼？真是一言難盡。老子創立的古代哲學思想流派，以“道”爲指導思想、行爲準則及最高信仰。道，本義爲道路。引申爲規律、原理、準則、宇宙的本原等。 “道之太原出於天，天不變，道亦不變。”事物變化的普遍規律是不以人的意志爲轉移的。所以人要順天道而行。按規律辦事才能無往而不利。 掌握事物發展規律，是一個認識的過程，由量變到質變的過程。這個飛躍、古人稱之爲：悟、頓悟。未悟之前，恍恍惚惚。道在你的眼中玄妙高深、若明若暗、深不可測。一旦悟道，頓時一片光明，使得到了超凡脫俗的大智大慧。 “朝聞道、夕死可矣。”所以人們往往窮其一生苦苦追尋，希望早日得道。 這條籤是給你的人生作出方向性的導引，也對目前的你，提出指南：知不可爲而爲之，是—種盲目的行動，失敗是必然的。
第 7 籤,7,中下籤,坎宮,坎,九五,師,平破,水,木,火,土,金,水,君須悟，勿誤疑，有平路，任驅馳，隨時變易，件件咸宜。,一條平平坦坦的陽關大道，出現在你的面前，召喚你放開繮繩，朝目標的終點飛奔。你該清醒地看到。不可猶豫不決，這會耽誤大事的。可是，在出發之前，還是要結你一個忠告：你可不能一條道跑到黑，不可用一種一成不變的老法又去面對未來。該要放慢速度時要放慢速度；該要轉彎的時候，一定順勢拐彎；該休息時要休息。總之，要根據不斷變化的形勢，改變不同的辦事方法。 這樣，你就能進退自如，取得一個接一個的小勝利。 祝你積小勝成大勝。
第 8 籤,8,中上籤,坎宮,革,九五,豐,持平,水,土,木,金,火,水,虎戀高山別有機，衆人目下尚狐疑，雁來嘹嚦黃花發，此際聲名達帝畿。,戀守高山的猛虎，看似無所事事，悠哉遊哉。但卻不然。它養精蓄銳。別有心機，處處都有其獨到的見解。當其它動物還在懵懵懂懂、猶疑未決的時候，它早就成熟了攻擊的全套方案，並且準備開始去實施。好一個百獸之王，你就是那虎，你L問什麼呢？成功的深度和時機，對嗎？” 大雁南飛的時候，秋意漸涼，黃色的菊花還在星星點點地開放。這使你成功的幸運季節。黃花，也是金的象徵，預示你求利得利。種瓜得瓜。更值得慶幸的是，事情的成功。將會使你譽滿京城。雖然這也許有點誇張，但畢竟會名利雙收。 總之，“不鳴則已，一鳴驚人。” 注意。你要在行動前守口如瓶，不要將心事隨便向人透露，否則大不利。
第 9 籤,9,上籤,離宮,訟,六三,姤,持,火,水,土,木,金,火,貴客相逢更可期，庭前拈木鳳業儀，好將短事求長事，體聽旁人說是非。,你的輝煌的人生階段，還沒有到來。可是，不要緊，很快地，有一位高貴的朋友，就要來到你的身邊。他(她)將改變你的外境，引領你趨向成功，你需要做些準備，注意居地的環境，屋前屋後的風水，修茸一下，稍稍動此土木工程。另外，改變一下牀的朝向。你的個性也很關鍵，幾乎給你一生帶來特大的影響。你是一個痛快人，往往只想到用員簡單的方式去解決最複雜的問題，只圖個痛快，而忽略了後果，“好將短事求長事”，好在這兒讀第四聲，偏好，偏向的意思。不管人家怎麼說三道四議論你、攻擊誹謗；甚至指名道姓當面誣衊你、污辱你，我都要淡然處之看得開，千萬不要簡簡單單、冒冒失失地幹蠢事，一切要從長計議，朝遠處想。 朋友，願這位姓氏中帶有草、木的貴人早日來臨；願這條籤詩陪伴你的一生，時時刻刻給你以警醒。
第 10 籤,10,上上籤,離宮,訟,初六,履,持持,火,水,土,木,金,火,嘹嚦證鳴獨出羣，高飛，羽翼更也紛，雲程北進，好音逐聞，朝雲暮雨，交加有憑。,空中傳來陣陣雁鳴，嘹亮的合唱聲。劃破了大地的寧靜。瞧，那隻領隊的鴻雁，多麼出色，與衆不同！它高高地飛翔着，展開寬厚的雙翼，抖出八面威風，引領雄糾糾的雁陣，傲迎北來狂風，穿雲破霧，聲振長空。 你就是這隻出衆的頭雁，抽中這支籤的朋友，你勇敢，你自信，你時時刻刻都想出人頭地，當然也曾如願以償，出過不少風頭。 如果你的生肖正好屬雞，你會明白我說得一點兒也沒錯。 當然，其他屬性的人，也會大同小異，因爲你生性如此，潛意識裏充滿了“爲天下先”的渴望。 這支籤，給你指出了發達的幸運方向：北。在那個方向，會使你接連不斷地獲得成功的快樂，好消息追逐着你的身後，請你特別留意天氣變化明顯的日子，不要輕看了這個有憑據的一天，將來必有驗證：農曆三月初三。
