Sign_Order,Sign_Order_Num,Fortune_Level,Poem_Title,Poem_Text,Holy_Meaning,Sign_Interpretation,Divine_Guidance,Allusion
第 1 籤,1,上籤子宮,鍾離成道,開天闢地作良緣，吉日良時萬物全；若得此籤非小可，人行忠正帝王宣。,此卦盤古初開天地之象，諸事皆吉也。,急速兆速 年未值時 觀音降筆 先報君知,"自身秋冬大利　失物東北　行人至　尋人見
求財秋冬大利　疾病歿送　田蠶好　公訟吉
家宅祈福　交易成　六畜好　山墳吉
六甲生男　婚姻成",鍾離成道。東漢時人姓鍾離。名權字雲房。號正陽。陝西西安咸陽縣，仕漢將軍，每出兵俱爲先鋒至五十歲免不得殺人三十餘萬。北征吐番。兵二萬。嬴弱士卒。利盡散。獨騎逃至山谷。胡僧引入終南山凝陽洞。人生榮辱得失。辭官修道。東華帝君授仙法。遂隱晉州羊角山。漢武帝時。次禮聘不出。朝廷每有大事。往諮詢。稱山中宰相。呂洞賓之師。八仙之首。正陽派之開山祖師。稱爲正陽帝君。后皇帝封爲太極左右宮真人。
第 2 籤,2,下籤子宮,蘇秦不第,鯨魚未變守江河，不可升騰更望高；異日崢嶸身變化，許君一躍跳龍門。,此卦鯨魚未變之象，凡事忍耐待時也。,得忍且忍 得耐且耐 須待時至 功名還在,"家宅不安　行人平安　婚姻難　公訟和
自身還願　六畜不利　田蠶吉　移徙去
求財欠利　失物東南　尋人見　山墳吉
六甲作福　疾病祈保",蘇秦。戰國東周洛陽人。師鬼谷子。遊說秦王。書十二上其說。不行。裘敝金盡。憔悴而歸。至家妻不下(織)機。(不理睬其夫)嫂不爲炊。(不煮飯給其叔)秦慚怒。得太公陰符。發憤苦讀。困怠時用錐刺股。痛而再讀。後以合從(縱)之說。聯六國抗秦。說趙竟佩六國相印。
第 3 籤,3,下籤子宮,董永賣身,臨風冒雨去還鄉，正是其身似燕兒；銜得坭來欲作壘，到頭壘壞復須坭。,此卦燕子銜坭之象，凡事勞心費力也。,千般用計 晨昏不停 誰知此事 到底勞心,"家宅先兇後吉　公訟有理　蠶畜利　失物見
自身謹防　求財有　尋人見　交易成
疾病還願　六甲男　移徙安　山墳吉
婚姻不合　行人吉",董永遇仙。漢。董永。千乘人。少失母。獨養父。流寓孝感。父亡無以葬。乃從人貸錢一萬。日後無錢還。當以身作奴。葬畢。皇天見其孝行。即差仙女下凡爲婚。董永道遇一婦人。求爲永妻。永與俱詰。錢主令織縑(錦)三百疋以償。一月而畢。辭永去。乃曰。我係天上織女。緣君至孝。玉帝令我助君償債。言訖。凌空而去。敕封進寶狀元。仙姬曰。天賜兒子三歲送還。(仙女迴天)。後其子十六歲中狀元。衣錦還鄉。
第 4 籤,4,上籤子宮,玉蓮會十朋,千年古鏡復重圓，女再求夫男再婚；自此門庭重改換，更添福祿在兒孫。,此卦古鏡重圓之象，凡事勞心有貴也。,淘沙見金 騎龍踏虎 雖是勞心 於中有補,"自身秋冬旺　田蠶可養　失物遲見　行人至
求財秋冬旺　六畜可養　疾病祈福　尋人見
家宅欠利　公訟不利　交易允　山墳吉
六甲祈保　移徙守舊　婚姻成",玉蓮會十朋。荊錄記。宋朝。王十朋少時家貧，與錢玉蓮結婚。十朋上京赴考。孫汝權逼玉蓮相嫁。玉蓮投河自殺獲救。十朋中狀元。拒娶丞相之女爲妻。二人幾經波折。夫妻始復團圓。
第 5 籤,5,中籤丑宮,劉晨遇仙,一錐鑿地要求泉，努力求之得最難；無意偶然遇知己，相逢攜手上青天。,此卦錐地求泉之象，凡事先難後易也。,慾望心事 西方可求 不如莫動 立地可謀,"田蠶宜早種　疾病禳星　婚姻合　尋人見
家宅祈福　自身利　六甲安　移徙吉
公訟宜和　求財利　行人遲　山墳吉
失物不見　交易合　六畜損",劉晨遇仙。東漢永平年間。劉晨和阮肇國二人入天台山採藥。遇二仙女。招至成親。半年後二人回家。方知子孫已過七世了，時已過百年。無人認識二人。二人返山找仙女。終找不到原路。喻有心花開花不發。無心插柳柳成蔭。
第 6 籤,6,中籤丑宮,仁貴遇主,投身巖下銅鳥居，須是還他大丈夫；拾得營謀誰可得，通行天地此人無。,此卦投巖銅(雕)鳥之象，凡事宜順吉之兆。,食用無餘 身清喜貧 待時利樂 權與概人,"家宅不利　田蠶早種　六甲安　移徙吉
自身中吉　疾病歿送　行人近　失物見
求財中吉　公訟有理　六畜損　山墳吉
婚姻平平　交易難　尋人見",仁貴遇主。唐朝。薛仁貴三次投軍。不得志。只任伙頭。打仗有功也被他人冒領。唐太宗(李世民)被蓋蘇追殺。危急之中。得仁貴救。即被唐太宗封爲元帥。後爲徵東大將軍帶兵東征。累立戰功。
第 7 籤,7,下籤丑宮,蘇娘走難,奔波阻隔重重險，帶水拖坭去度山；更望他鄉求用事，千鄉萬里未回還。,此卦拖坭帶水之象，凡事守舊則吉也。,退身可得 進步爲難 只宜守舊 莫望高扳,"求財秋冬吉　婚姻祈福　失物不見　尋人難
家宅不利　六甲祈福　疾病作福　公訟虧
自身祈福　田蠶不利　山墳不利　移徙吉
交易平平　六畜不利　行人阻",蘇娘走難。周朝景王時。皇后蘇英。善與鸚鵡對話。獲帝讚賞。西宮梅玉春妒嫉，陷害蘇英。潘葛之妻代後受刑。娘娘逃至白馬寺。腹痛產下太子。喻誰無逆境。隨遇而安可也。
第 8 籤,8,上籤丑宮,斐度還帶,茂林松柏正興旺，雨雪風霜總莫爲；異日忽然成大用，功名成就棟樑材。,此卦此卦松柏茂林之象，凡事有貴氣也。,路上亨通 終身有功 田蠶豐熟 家道興隆,"自身順利　家宅吉　田蠶利　失物見
求財中平　交易旺　六畜損　疾病安
行人有信　婚姻成　尋人至　山墳吉
公訟有理　六甲男　移徙吉",斐度還帶。斐度是唐朝憲宗皇帝的宰相，在年輕時，斐度家境貧困。一日到香山寺拜佛，在地上拾到價值連城的玉帶數條，尋訪物主，終得歸還。以此積德，反得高官厚祿，富貴榮華。後考中進士，任宰相，督師破蔡州，平濰西。晚年辭官居洛陽。
第 9 籤,9,中籤寅宮,孔明點將,煩君勿作私心事，此意偏宜說問公；一片明心光皎潔，宛如皎月正天心。,此卦皎月當空之象，凡事光明通達也。,心中正直 理順法寬 聖無私語 終有分明,"求財中平　自身順　行人動　尋人至
公訟有理　交易旺　田蠶利　疾病安
失物祈福　婚姻成　六畜損　山墳吉
家宅吉　六甲男",孔明點將。三國時。諸葛亮。字孔明。琅琊人。漢末避居南陽。研究奇門遁法。天文術數。卦算韜略。無所不精。劉備三顧草廬。出任軍師。曹操大將夏侯敦領兵來攻。孔明升帳。調兵點將。關公張飛都不服氣。在博望坡擊敗曹軍。劉備軍隊大獲全勝，關張從此信服。先主即位。拜丞相。受以託孤。後主封爲武卿侯。卒諡忠武。
第 10 籤,10,中籤寅宮,龐涓觀陣,石藏無價玉和珍，只管他鄉外客尋；宛如持燈更覓火，不如收拾枉勞心。,此卦持燈覓火之象，凡事待時成就也。,姻緣會遇 何事不成 須無限意 眼前是真,"家宅欠利　失物難見　求財難　行人動
田蠶秋吉　疾病歿送　交易難　尋人見
六畜難養　山墳中平　婚姻合　公訟虧
移徙舊安　自身安　六甲女",龐涓觀陣。戰國。孫臏齊人。龐涓魏人。同師事鬼谷子。孫臏之學優於龐涓。涓爲魏將。與臏鬥智。輸而忌之。乃以計刖其足。後孫臏假作顛狂。得脫歸。齊威王以臏爲師。將兵伐魏。龐涓至營地觀陣。認得是孫臏顛倒八門陣。但破不了。孫臏用減竈添兵之法。賺龐涓。追至馬陵道。伏弩射死。
