Sign_Order,Sign_Order_Num,Fortune_Level,Poem_Title,Poem_Text,Holy_Meaning,Sign_Interpretation,Meaning_Explanation,Detailed_Explanation,DongPo_Commentary,BiXian_Commentary
第 1 籤,1,甲甲 (大吉),十八學士登瀛洲,巍巍獨步向雲間，玉殿千官第一班，富貴榮華天付汝，福如東海壽如山。,功名遂、福祿全、訟得理、病即痊、桑麻熟、婚姻圓、孕生子、行人還。,此籤謀望事緒。無不遂意。但各有所主。官員佔此。有超越之喜。士人有功名之慶。佔前程者。福壽綿長。佔事業者。根基穩固。若謀望求財。多主有名無實。爲語多空虛也。,雲間。青雲之上也。巍巍獨步。許其足踏青雲也。玉殿千官。乃是天曹仙吏。第一班。仙吏之最貴者也。榮華富貴。自天作主。天已付之。自然福壽無涯。如海。言福之廣遠。如山。言壽之堅永。上上大吉。須要人地相當則應。,猶如平步青雲，一切皆可如願實現，不論是福、祿、壽、喜，都能圓滿，並且有超越的現象，可拔得頭籌。自然而然地就能享有榮華富貴，這都是上天所給予的恩惠，所受的恩澤相當浩大，福氣如海之無涯，壽如山之雋永，必須懂得珍惜。可說是得到了天時的配和，只要再加上地利及人和，則無往不利，是上上籤。,雲間獨步、拔萃超羣、名登甲第、談笑功勳。終身光顯、皆天所相、祿厚壽高、意稱謀望。,月裏攀丹桂、成名步玉畿、求謀皆稱意、萬事足無疑。
第 2 籤,2,甲乙 (上吉),韓蘄王西湖騎驢,盈虛消息總天時，自此君當百事宜，若問前程歸縮地，須憑方寸好修爲。,訟宜和、病宜禱、功名有、遲莫躁、求財平、問婚好、若妄爲、身莫保。,此籤前運不佳。前事蹭蹬。自此以後。漸見順利。若問究竟歸結。全在存心種德。方得成實。倘值境遇遂意。頓忘前因。暗損心術。必至有始無終。自貽後悔。勉之慎之。,盈虛消息。天運之常。人生窮通得喪。亦似此無有定在。言佔者曾未遇時也。自此相宜。困極而亨。所謀遂意也。前程歸縮。是收成結果之地。方寸修爲。戒佔者勿損心田。勿害天理。及早積德修因。遂終有慶矣。君子修之吉。小人悖之兇。唯所自擇何如耳。,曾經遇到不順遂的過去，到現在也該是轉運的時候了，之後會漸入佳境，但不可因此而驕縱。如能從心做起，隨時隨地都能發出善的念頭，積累福廕，必會有美好的未來。此籤的重點在於心裏的想法，如能以善念出發，必能排除萬難達成目標，但如有偏斜的歹念，則會爲自己招來厄運，不可不慎。,萬事乘除、隨時而處、否極泰來、事無齟齬。收成結果、方寸修爲、切莫妄動、萬福來宜。,禍福從天降、存心萬事宜、若還無妄作、禍散福相隨。
第 3 籤,3,甲丙 (中吉),張公藝九世同居,衣食自然生處有，勸君不用苦勞心，但能孝悌存忠信，福祿來成禍不侵。,問名利、自有時、訟和吉、產尚遲、病可治、婚未宜、宜謹守、免憂疑。,此籤只宜守舊。不可貪求。但存中直。卻得兩平。須以孝悌忠信爲本。自有福祿來成之應。若思強取強求。反招意外之禍。佔者循理守分則吉。,衣食自然。言衣食各有定分。生處有。言系人生命理所載。不可強也。不用勞心。勸人安分。孝悌忠信。勸人務本。孝悌所以盡倫。忠信所以處事。如此爲人。自蒙上天鑑佑。福祿來成。言福集而祿臻。俯仰稱意。禍不侵。凡事有吉無兇也。全在修爲。不可背本。慎之。,人生自然該有的衣食住行，在冥冥中自有定數，該喫多少、該用多少，都有一定的份量，不可太過強求，如果一餐喫一碗飯就飽了，一時貪心喫了兩碗，也只有苦了自己的肚子了。如果能從人倫的孝悌做起，對上盡忠，爲人誠信，相信福祿自會天成，禍患與你無緣。此籤重在自我的修養，謹記孝悌忠信，則必能去災解厄，吉運自現。,富貴前定、何須強求、徒勞心力、反致傷憂。事親待人、動合循理、天必佑之、有泰無否。,隨緣安分、直道而行、心中無愧、自然和平。
第 4 籤,4,甲丁 (下下),張翰憶鱸魚,去年百事可相宜，若較今年時運衰，好把瓣香告神佛，莫教福謝悔無追。,功名滯、求祿輕、訟不宜、婚難成、病難愈、行阻程、若求吉、禱神明。,此籤吉事已去。兇禍將來。官事臨身。是非自至。凡事謀望不成。求財交易不就。所爲皆不利。急宜祈禱神明。積德迴天。庶不致貽後悔耳。,去年相宜。已往之吉。今年運衰。見在之兇。瓣香告神。勸人早植善果。感格神明。庶可轉禍爲福。若無神佛扶持。則福力衰謝。殃咎並臨。佇見噬臍之悔。將何及哉。佔者宜早修省也。,去年的運勢相當順遂，幾乎想做的事都可以成功，相較於今年，則出現了明顯的衰運，這就是人生，可見的厄運是無法避免了，該如何將傷害減至最低呢？不如誠心的禱告神明，以誠摯的心焚香膜拜，如能得到神佛的幫助，則能轉危爲安、轉禍爲福，若無真心祈求，禍患無法避免，將後悔莫及，還是儘早修爲吧！,先吉後兇、時運將否、謀事無成、頓非前比。秉誠禱神、以求福祉、若無遠慮、悔無及己。,好事從前過、時衰禍漸來、頂天並拜地、庶可保無災。
第 5 籤,5,甲戊 (中平),呂蒙正守困,子有三般不自由，門庭蕭索冷如秋，若逢牛鼠交承日，萬事回春不用憂。,財祿耗、功名遲、訟終吉、病可醫、婚宜慎、行人歸、待時至、百事宜。,此籤先憂後喜。見在主意不定。進退無據。景況甚爲冷落。等子醜交承之際。遠應年分。近應月日。自有更新氣象。如春來萬物發生。此前大不相同。凡事待時。終有成就。,三般句。有二解。一作心口意。三者遊移不定。一作富貴壽。三者杳茫無據。總是不能自主之意。秋景冷落。門庭似此。蕭索可知。牛鼠交承。乃是子醜接續之際。言有好光景在後。至此才得遂意。萬事回春。言事事起發。如草木春日向榮。皆足賞心悅目。何憂之有哉。現須耐守爲吉。,此時的你是萬事都無法隨心所欲，就算是連最簡單的溝通，都是詞不達意，連朋友都忘了有你這個人的存在，可說是冷到了極點。厄運總是會結束的，只要過了子醜的交接轉換，就會有美好的未來，會猶如春天的來到，將不必憂愁，此時只是日出前的黑暗。子醜交換最久可能是鼠牛年的交換，也可能是鼠牛月或鼠牛日的交換，不論還要多久必須忍耐，迎接美好的未來。,榮枯有時、不由人力、泰運將亨、終於否極。月日子醜、凡事皆吉、如木逢春、才見榮益。,事有不如意、常存忍耐心、時來皆順受、福至禍無侵。
第 6 籤,6,甲己 (下下),相如完璧歸趙,何勞鼓瑟更吹笙，寸步如登萬里程，彼此懷疑不相信，休將私意憶濃情。,功名無、財祿散、病難痊、防產難、婚不成、訟未判、行人遲、空嗟嘆。,此籤謂之陽爲君子。陰爲小人。須防有面是背非之人。從此簸弄。彼此懷疑不信。前此濃情。今已中變。何用私意繫戀。自取煩惱。凡事撥開迷妄則吉。,鼓瑟吹笙。小雅宴嘉賓之詩也。茍非其人。何勞爲此。寸步萬里。言覿面不能相識。彼此懷疑。此人已不可交。此事已不可就。即應當幾立斷。若更以私意。憶彼濃情。不唯徒勞罔功。必將更受其累。休將二字。禁止之詞。戒佔者急當自悟也。,雖然你以很熱忱的心與人交往，但對方卻是個裏外不一的人，看起來和你是那麼近的距離，但卻永遠也無法知道對方在想什麼，顯得相當陌生。如果你還陷在過去的濃情蜜意之中，將自己沉浸在過去，將萬劫不復，因爲彼此已經產生了懷疑，倒不如就此放下，不必再爲此事或此人努力，或許傷害就到此爲止，及早清醒纔是。,凡事勞心、有退無進、謀望不成、懷疑不信。求合未合、將圓未圓、只宜守己、不宜變遷。,兩下懷疑、咫尺萬里、何用綢繆、從此中止。
第 7 籤,7,甲庚 (大吉),呂洞賓煉丹,仙風道骨本天生，又遇仙宗爲主盟，指日丹成謝巖谷，一朝引領向天行。,圖名遂、求財豐、訟得理、病不兇、行人至、夢飛熊、陰地吉、婚姻仝。,此籤貴人佔之。有薦拔之喜。仕人佔之。有飛騰之兆。庶人佔之。有百倍之利。方外佔之。有仙升之期。病患佔之。有醫藥之緣。亦恐有正應反應不同。佔者審之。,道骨天生。夙有道緣也。仙宗主盟。仙階得路也。指日丹成。衝舉當在指顧間。引領向天。身在雲霄之上矣。方士佔之。上上大吉。文士當系玉堂清品。他事則嫌空幻。未可全以吉斷。,比別人幸運的是天生就有道緣，而且又遇到高人的指點，可以很順利的尋得求道之路，而且可以一路順遂，得到不錯的成就。此籤又可解爲求醫者可求得良藥，但又有仙升，即作古昇天之意，故求籤者要小心處置。此籤雖是大吉，但除了以上所提之事，對其餘事情幾乎都無任何影響，所以不可全部判斷爲大吉籤。,天生富貴、況得神助、凡骨成仙、升騰雲路。庶人遇貴、財物皆聚、百事大吉、何必疑慮。,問病三日內、須逢好手扶、若還求富貴、雲路是亨途。
第 8 籤,8,甲辛 (上上),伊尹耕莘樂道,年來耕稼苦無收，今歲田疇定有秋，況遇太平無事日，士農工賈百無憂。,士領薦、人獲財、訟則解、病無災、問行人、即便回、謀望吉、喜慶來。,此籤宜安常守分。前雖困頓。今漸有成。譬如田疇。既有荒歉。亦有豐收。幸處光天化日之下。農工商賈。共享昇平。何憂之有。凡事安享自然。時日以秋季爲斷。,耕稼無收。指往事失意。今歲有秋。指現在利益。太平日。大有俯仰優遊之樂。百無憂。統言士農工商之儔。佔此者。人人獲吉。事事如意。喜氣洋溢之兆也。,過去的努力似乎都沒有收穫，只要再持續下去，今年必定會有結果，而且是不錯的回收。田裏的收成，完全要靠老天爺的幫忙，適逢風調雨順，得以豐收，各行各業也因此而有所斬獲。此籤表示即將有所收穫，不管之前有多麼不順遂，到此又是另一番景象，要好好把握，也表示以前的努力，現在纔開始要回收，將會有美好的未來。,凡事求謀、昔否今泰、時運將亨、有喜無害。士農工商、悉逢嘉會、財物倍收、普均內外。,昔否今逢泰、謀爲耐始終、休論貧與富、從此盡亨通。
第 9 籤,9,甲壬 (大吉),張京兆畫眉,望渠消息向長安，常把菱花仔細看，見說文書將入境，今朝喜色上眉端。,名與利、必到頭、訟即勝、病即瘳、孕生男、婚可求、行人至、百無憂。,此籤謀爲之事。旦夕喜信。若問行人。旦夕即至。婚姻和合。疾病回頭。士子科名捷報。仕宦得位超遷。叩問運程。即見好消息也。,望消息。等待已久也。仔細看。把鏡自照也。此是盼望不寧之狀。文書入境。消息已到。喜色眉端。大有揚眉吐氣之概。凡事久而後成。難而後易。不可過急。,對於期待已久的消息，已經等得快要不耐煩了，然而在突然間卻得到好消息的傳來，令人喜出望外，不禁喜上眉稍，一切的辛勞都有了回應。表示經過了長時間的等待，終於有了好回報。此籤表示要發揮極大的耐心，不可因暫無消息而放棄，只要能持續以待，必得好的佳音。,謀望已久、忽得好音、音書到手、喜在目今。利有攸往、財獲千金、所謀遂意、凡百稱心。,行人若久望、只在三日至、自去自迴歸、不出百日內。
第 10 籤,10,甲癸 (下下),孟郊五十登第,病患時時命蹇衰，何須打瓦共鑽龜，直教重見一陽後，始可求神仗佛持。,名難圖、財祿失、行人遲、訟未息、病留連、求神佑、莫貪求、宜守舊。,此籤大意曉然。凡有前惡。須宜求神懺悔。若問病訟。冬至後方可。不然莫解。若作非爲。禍患立至。佔者守分修省可保。,運途蹇衰。現在欠吉。打瓦鑽龜。卜筮何益。何須爲此。及早種福。感格昊蒼。默仗神力。佳期冬至。一陽來複。或七日後。應驗神速。遠斷節氣。近斷時日。萬象回春。以需後祿。遵此修持。聖言不謬矣。不悟修省者終兇。,目前的運勢相當不好，如是問病，必是久病不愈，短時間內不會好轉。就算是求神問卜，也是無濟於事，不如相信上天的安排，冥冥中自會有所變化。運勢必須到冬至時纔會好轉，而且會有很大的變化，此時宜平心靜氣地等待好運的到來，若不相信天理的安排，一意孤行，則必會招來厄運，謹慎而行。,命運多蹇、疾病連綿、但須修省、託在蒼天。直須冬至、禱神方痊、凡百謀望、作事必全。,無妄遇兇災、陰人口舌來、一交生日後、漸漸笑顏開。
